CPU%,RAM_USADA,RAM_LIVRE,RAM_TOTAL
1.1%,0.449944 GB,13.1774 GB,14.6125 GB
1.1%,0.450287 GB,13.1773 GB,14.6125 GB
1.1%,0.44989 GB,13.1774 GB,14.6125 GB
1.3%,0.449959 GB,13.1774 GB,14.6125 GB
1.3%,0.449539 GB,13.1778 GB,14.6125 GB
1.2%,0.450352 GB,13.1772 GB,14.6125 GB
1.2%,0.45005 GB,13.1775 GB,14.6125 GB
1.2%,0.44978 GB,13.1778 GB,14.6125 GB
1.2%,0.450111 GB,13.1772 GB,14.6125 GB
1.2%,0.449966 GB,13.1776 GB,14.6125 GB
1.2%,0.450237 GB,13.1773 GB,14.6125 GB
1.2%,0.449741 GB,13.1778 GB,14.6125 GB
1.2%,0.449772 GB,13.1778 GB,14.6125 GB
1.2%,0.450058 GB,13.1775 GB,14.6125 GB
1.2%,0.450352 GB,13.1769 GB,14.6125 GB
1.2%,0.450512 GB,13.177 GB,14.6125 GB
1.2%,0.450672 GB,13.1771 GB,14.6125 GB
1.2%,0.45089 GB,13.1766 GB,14.6125 GB
1.3%,0.450966 GB,13.1766 GB,14.6125 GB
1.2%,0.450539 GB,13.177 GB,14.6125 GB
1.2%,0.450081 GB,13.1772 GB,14.6125 GB
1.2%,0.450111 GB,13.1774 GB,14.6125 GB
1.2%,0.45063 GB,13.1772 GB,14.6125 GB
1.3%,0.449921 GB,13.1779 GB,14.6125 GB
1.2%,0.450241 GB,13.1773 GB,14.6125 GB
1.2%,0.450489 GB,13.177 GB,14.6125 GB
1.2%,0.449924 GB,13.1773 GB,14.6125 GB
1.2%,0.449848 GB,13.1774 GB,14.6125 GB
1.3%,0.450211 GB,13.1773 GB,14.6125 GB
1.2%,0.44976 GB,13.1775 GB,14.6125 GB
1.2%,0.450039 GB,13.1775 GB,14.6125 GB
1.3%,0.450092 GB,13.1772 GB,14.6125 GB
1.3%,0.450199 GB,13.1771 GB,14.6125 GB
1.3%,0.450531 GB,13.1767 GB,14.6125 GB
1.2%,0.450577 GB,13.1767 GB,14.6125 GB
1.2%,0.450417 GB,13.1771 GB,14.6125 GB
1.2%,0.450169 GB,13.1773 GB,14.6125 GB
1.2%,0.450455 GB,13.1768 GB,14.6125 GB
1.3%,0.450081 GB,13.1774 GB,14.6125 GB
1.3%,0.450119 GB,13.1774 GB,14.6125 GB
1.3%,0.450001 GB,13.178 GB,14.6125 GB
1.3%,0.450256 GB,13.1773 GB,14.6125 GB
1.3%,0.450684 GB,13.1771 GB,14.6125 GB
1.2%,0.451344 GB,13.1764 GB,14.6125 GB
1.3%,0.451157 GB,13.1764 GB,14.6125 GB
1.3%,0.450962 GB,13.1768 GB,14.6125 GB
1.3%,0.450577 GB,13.1769 GB,14.6125 GB
1.3%,0.45018 GB,13.1771 GB,14.6125 GB
1.2%,0.45015 GB,13.1773 GB,14.6125 GB
1.2%,0.45015 GB,13.1768 GB,14.6125 GB
1.3%,0.450325 GB,13.1772 GB,14.6125 GB
1.3%,0.450661 GB,13.1768 GB,14.6125 GB
1.3%,0.450745 GB,13.1767 GB,14.6125 GB
1.2%,0.451054 GB,13.1764 GB,14.6125 GB
1.2%,0.450596 GB,13.1769 GB,14.6125 GB
1.3%,0.451153 GB,13.1763 GB,14.6125 GB
1.3%,0.450672 GB,13.1768 GB,14.6125 GB
1.3%,0.451237 GB,13.1765 GB,14.6125 GB
1.3%,0.451176 GB,13.1763 GB,14.6125 GB
1.2%,0.451077 GB,13.1761 GB,14.6125 GB
1.2%,0.450844 GB,13.1761 GB,14.6125 GB
1.2%,0.451385 GB,13.1761 GB,14.6125 GB
1.2%,0.451508 GB,13.176 GB,14.6125 GB
1.2%,0.451832 GB,13.1754 GB,14.6125 GB
1.2%,0.451427 GB,13.1763 GB,14.6125 GB
1.2%,0.451721 GB,13.1758 GB,14.6125 GB
1.2%,0.451496 GB,13.1762 GB,14.6125 GB
1.2%,0.450981 GB,13.1765 GB,14.6125 GB
1.1%,0.450935 GB,13.1766 GB,14.6125 GB
1.2%,0.451214 GB,13.1762 GB,14.6125 GB
1.2%,0.45153 GB,13.1759 GB,14.6125 GB
1.2%,0.452042 GB,13.1757 GB,14.6125 GB
1.2%,0.452179 GB,13.1753 GB,14.6125 GB
1.2%,0.452271 GB,13.1752 GB,14.6125 GB
1.2%,0.452301 GB,13.1749 GB,14.6125 GB
1.2%,0.452316 GB,13.1752 GB,14.6125 GB
1.2%,0.451473 GB,13.1757 GB,14.6125 GB
1.2%,0.451374 GB,13.1761 GB,14.6125 GB
1.2%,0.451458 GB,13.1762 GB,14.6125 GB
1.2%,0.451389 GB,13.1761 GB,14.6125 GB
1.2%,0.451229 GB,13.1762 GB,14.6125 GB
1.2%,0.450974 GB,13.1765 GB,14.6125 GB
1.2%,0.451515 GB,13.1759 GB,14.6125 GB
1.2%,0.451126 GB,13.1763 GB,14.6125 GB
1.2%,0.451561 GB,13.1759 GB,14.6125 GB
1.2%,0.45163 GB,13.1756 GB,14.6125 GB
1.2%,0.451729 GB,13.1757 GB,14.6125 GB
1.2%,0.451775 GB,13.1756 GB,14.6125 GB
1.2%,0.451023 GB,13.1762 GB,14.6125 GB
1.2%,0.451202 GB,13.1765 GB,14.6125 GB
1.2%,0.450817 GB,13.1761 GB,14.6125 GB
1.2%,0.451183 GB,13.1757 GB,14.6125 GB
1.2%,0.451206 GB,13.1762 GB,14.6125 GB
1.2%,0.451462 GB,13.176 GB,14.6125 GB
1.2%,0.451855 GB,13.1756 GB,14.6125 GB
1.2%,0.452087 GB,13.1756 GB,14.6125 GB
1.2%,0.451935 GB,13.1755 GB,14.6125 GB
1.2%,0.452282 GB,13.1752 GB,14.6125 GB
1.2%,0.451786 GB,13.1756 GB,14.6125 GB
1.2%,0.451839 GB,13.1756 GB,14.6125 GB
1.2%,0.45163 GB,13.1755 GB,14.6125 GB
1.2%,0.451797 GB,13.1756 GB,14.6125 GB
1.2%,0.451603 GB,13.1756 GB,14.6125 GB
1.2%,0.451542 GB,13.1759 GB,14.6125 GB
1.2%,0.451782 GB,13.1756 GB,14.6125 GB
1.2%,0.451763 GB,13.1754 GB,14.6125 GB
1.2%,0.452057 GB,13.1753 GB,14.6125 GB
1.2%,0.451561 GB,13.1756 GB,14.6125 GB
1.2%,0.451344 GB,13.176 GB,14.6125 GB
1.2%,0.446732 GB,13.1804 GB,14.6125 GB
1.2%,0.447372 GB,13.18 GB,14.6125 GB
1.2%,0.446793 GB,13.1798 GB,14.6125 GB
1.2%,0.447273 GB,13.1801 GB,14.6125 GB
1.2%,0.44701 GB,13.1804 GB,14.6125 GB
1.2%,0.447056 GB,13.1803 GB,14.6125 GB
1.2%,0.446892 GB,13.1805 GB,14.6125 GB
1.2%,0.446449 GB,13.1807 GB,14.6125 GB
1.2%,0.447254 GB,13.1799 GB,14.6125 GB
1.2%,0.446831 GB,13.1805 GB,14.6125 GB
1.2%,0.447456 GB,13.1804 GB,14.6125 GB
1.2%,0.446667 GB,13.1805 GB,14.6125 GB
1.1%,0.447533 GB,13.1798 GB,14.6125 GB
1.1%,0.446968 GB,13.1804 GB,14.6125 GB
1.1%,0.447472 GB,13.1799 GB,14.6125 GB
1.1%,0.447208 GB,13.1802 GB,14.6125 GB
1.1%,0.447021 GB,13.1803 GB,14.6125 GB
1.1%,0.44733 GB,13.18 GB,14.6125 GB
1.1%,0.446499 GB,13.1806 GB,14.6125 GB
1.1%,0.447124 GB,13.1802 GB,14.6125 GB
1.1%,0.44738 GB,13.18 GB,14.6125 GB
1.1%,0.447651 GB,13.1797 GB,14.6125 GB
1.1%,0.447231 GB,13.1796 GB,14.6125 GB
1.1%,0.446884 GB,13.1805 GB,14.6125 GB
1.1%,0.447163 GB,13.1802 GB,14.6125 GB
1.1%,0.447334 GB,13.1798 GB,14.6125 GB
1.1%,0.447178 GB,13.1802 GB,14.6125 GB
1.1%,0.448071 GB,13.1795 GB,14.6125 GB
1.1%,0.447922 GB,13.1792 GB,14.6125 GB
1.1%,0.447735 GB,13.1797 GB,14.6125 GB
1.1%,0.447296 GB,13.1798 GB,14.6125 GB
1.1%,0.44759 GB,13.1797 GB,14.6125 GB
1.1%,0.447124 GB,13.1805 GB,14.6125 GB
1.1%,0.446636 GB,13.1805 GB,14.6125 GB
1.1%,0.447193 GB,13.1804 GB,14.6125 GB
1.1%,0.447479 GB,13.1799 GB,14.6125 GB
1.1%,0.447472 GB,13.1799 GB,14.6125 GB
1.1%,0.448261 GB,13.1793 GB,14.6125 GB
1.1%,0.447639 GB,13.1797 GB,14.6125 GB
1.1%,0.447903 GB,13.1794 GB,14.6125 GB
1.1%,0.447956 GB,13.1794 GB,14.6125 GB
1.1%,0.447617 GB,13.1795 GB,14.6125 GB
1.1%,0.447422 GB,13.1797 GB,14.6125 GB
1.1%,0.44706 GB,13.1803 GB,14.6125 GB
1.1%,0.447269 GB,13.18 GB,14.6125 GB
1.1%,0.447666 GB,13.1794 GB,14.6125 GB
1.1%,0.44714 GB,13.1802 GB,14.6125 GB
1.1%,0.447697 GB,13.1796 GB,14.6125 GB
1.1%,0.447479 GB,13.1796 GB,14.6125 GB
1.1%,0.447834 GB,13.1797 GB,14.6125 GB
1.1%,0.447407 GB,13.1799 GB,14.6125 GB
1.1%,0.447655 GB,13.1797 GB,14.6125 GB
1.1%,0.448196 GB,13.1791 GB,14.6125 GB
1.1%,0.448158 GB,13.1791 GB,14.6125 GB
